date,value
26/09/2013,878.301499
25/09/2013,886.551498
24/09/2013,886.501507
23/09/2013,896.151511
20/09/2013,898.391569
19/09/2013,905.991557
18/09/2013,886.351532
17/09/2013,887.411523
16/09/2013,896.201564
13/09/2013,894.501548
12/09/2013,897.401543
11/09/2013,888.541538
10/09/2013,890.021554
09/09/2013,883.731514
06/09/2013,882.441539
05/09/2013,873.501523
04/09/2013,860.351504
03/09/2013,854.361474
30/08/2013,855.76148
29/08/2013,849.071447
28/08/2013,850.251454
27/08/2013,859.621482
26/08/2013,870.001509
23/08/2013,877.831482
22/08/2013,872.701476
21/08/2013,870.65152
20/08/2013,868.351485
19/08/2013,857.711453
16/08/2013,861.281492
15/08/2013,864.441491
14/08/2013,878.371524
13/08/2013,886.831536
12/08/2013,886.9015
09/08/2013,890.561536
08/08/2013,895.491514
07/08/2013,895.041529
06/08/2013,904.691534
05/08/2013,905.391537
02/08/2013,903.441564
01/08/2013,895.001524
31/07/2013,892.991512
30/07/2013,885.461488
29/07/2013,884.901535
26/07/2013,886.991496
25/07/2013,893.871509
24/07/2013,907.26156
23/07/2013,910.701536
22/07/2013,902.001553
19/07/2013,886.611537
18/07/2013,918.991602
17/07/2013,921.001552
16/07/2013,927.13157
15/07/2013,924.301601
12/07/2013,920.0016
11/07/2013,913.001572
10/07/2013,903.45155
09/07/2013,911.001546
08/07/2013,899.211527
05/07/2013,890.011507
03/07/2013,879.901532
02/07/2013,890.201548
01/07/2013,886.451515
28/06/2013,874.901529
27/06/2013,878.801536
26/06/2013,873.75148
25/06/2013,877.261481
24/06/2013,871.881518
21/06/2013,888.341511
20/06/2013,893.991525
19/06/2013,901.371575
18/06/2013,888.651507
17/06/2013,879.231487
14/06/2013,880.101498
13/06/2013,868.981463
12/06/2013,885.461488
11/06/2013,883.971486
10/06/2013,882.101524
07/06/2013,870.421474
06/06/2013,864.301503
05/06/2013,862.51149
04/06/2013,867.851509
03/06/2013,873.001486
31/05/2013,868.121499
30/05/2013,869.921498
29/05/2013,875.711501
28/05/2013,883.501529
24/05/2013,875.261516
23/05/2013,877.001476
22/05/2013,902.561567
21/05/2013,908.021541
20/05/2013,905.00153
17/05/2013,910.021566
16/05/2013,919.001588
15/05/2013,895.501561
14/05/2013,877.501513
13/05/2013,878.891533
10/05/2013,875.311508
09/05/2013,870.8415
08/05/2013,857.001464
07/05/2013,863.011466
06/05/2013,848.261476
03/05/2013,836.961447
02/05/2013,820.1014
01/05/2013,823.261399
30/04/2013,819.001404
29/04/2013,803.251401
26/04/2013,807.601393
25/04/2013,816.251384
24/04/2013,808.111416
23/04/2013,801.001357
22/04/2013,800.601364
19/04/2013,769.161334
18/04/2013,785.351336
17/04/2013,786.751342
16/04/2013,786.59132
15/04/2013,785.951356
12/04/2013,791.991377
11/04/2013,792.88136
10/04/2013,782.921359
09/04/2013,775.501304
08/04/2013,778.751362
05/04/2013,786.061325
04/04/2013,804.251352
03/04/2013,813.46142
02/04/2013,804.541376
01/04/2013,795.011388
28/03/2013,803.991409
27/03/2013,806.68139
26/03/2013,813.501426
25/03/2013,812.411416
22/03/2013,814.74141
21/03/2013,811.291387
20/03/2013,816.831371
19/03/2013,811.241395
18/03/2013,805.001408
15/03/2013,818.501429
14/03/2013,826.991399
13/03/2013,827.901415
12/03/2013,830.711412
11/03/2013,831.691453
08/03/2013,834.501451
07/03/2013,834.061452
06/03/2013,841.031462
05/03/2013,828.931447
04/03/2013,805.301357
01/03/2013,797.801352
28/02/2013,801.101401
27/02/2013,794.801375
26/02/2013,795.001341
25/02/2013,802.301379
22/02/2013,799.261397
21/02/2013,798.001379
20/02/2013,805.301357
19/02/2013,795.991368
15/02/2013,787.401353
14/02/2013,779.731341
13/02/2013,780.131334
12/02/2013,781.751339
11/02/2013,778.40136
08/02/2013,780.131334
07/02/2013,769.701316
06/02/2013,759.071331
05/02/2013,761.131335
04/02/2013,767.691304
01/02/2013,758.201321
31/01/2013,750.511275
30/01/2013,753.741299
29/01/2013,746.751256
28/01/2013,751.761307
25/01/2013,750.77128
24/01/2013,741.241291
23/01/2013,735.99127
22/01/2013,704.661209
18/01/2013,710.361215
17/01/2013,717.711246
16/01/2013,722.401253
15/01/2013,719.33125
14/01/2013,737.001269
11/01/2013,742.001272
10/01/2013,742.831277
09/01/2013,732.271256
08/01/2013,735.541286
07/01/2013,735.451289
04/01/2013,729.341243
03/01/2013,724.931273
02/01/2013,719.421247
31/12/2012,700.001222
28/12/2012,701.69119
27/12/2012,707.141239
26/12/2012,708.071227
24/12/2012,714.511241
21/12/2012,713.971199
20/12/2012,723.261216
19/12/2012,720.711223
18/12/2012,716.601202
17/12/2012,705.501201
14/12/2012,699.171217
13/12/2012,715.921233
12/12/2012,699.231194
11/12/2012,690.001154
10/12/2012,685.391158
07/12/2012,695.001219
06/12/2012,687.59115
05/12/2012,692.151216
04/12/2012,695.001219
03/12/2012,702.241219
30/11/2012,691.311163
29/11/2012,687.781191
28/11/2012,668.011164
27/11/2012,660.171144
26/11/2012,666.44115
23/11/2012,669.971123
21/11/2012,668.991143
20/11/2012,669.511153
19/11/2012,655.701136
16/11/2012,645.991093
15/11/2012,650.00113
14/11/2012,660.661134
13/11/2012,663.001114
12/11/2012,663.751108
09/11/2012,654.651132
08/11/2012,670.201169
07/11/2012,675.001145
06/11/2012,685.481155
05/11/2012,684.501176
02/11/2012,694.791206
01/11/2012,679.501173
31/10/2012,679.86116
26/10/2012,676.501134
25/10/2012,680.001148
24/10/2012,686.80115
23/10/2012,672.011154
22/10/2012,681.011147
19/10/2012,705.581211
18/10/2012,755.541298
17/10/2012,743.951306
16/10/2012,740.131248
15/10/2012,741.941294
12/10/2012,751.851304
11/10/2012,752.901308
10/10/2012,741.861283
09/10/2012,759.67129
08/10/2012,761.001332
05/10/2012,770.711314
04/10/2012,762.751278
03/10/2012,755.721291
02/10/2012,765.201288
01/10/2012,759.051298
28/09/2012,754.151278
27/09/2012,759.951328
26/09/2012,749.851278
25/09/2012,753.051282
24/09/2012,731.001253
21/09/2012,732.211279
20/09/2012,724.471242
19/09/2012,717.501232
18/09/2012,707.781203
17/09/2012,708.111232
14/09/2012,709.601235
13/09/2012,693.09119
12/09/2012,689.411182
11/09/2012,697.961191
10/09/2012,709.761195
07/09/2012,700.001222
06/09/2012,685.961159
05/09/2012,680.001148
04/09/2012,684.551167
31/08/2012,684.0012
30/08/2012,684.241171
29/08/2012,677.371145
28/08/2012,665.001139
27/08/2012,662.991127
24/08/2012,675.601165
23/08/2012,674.271184
22/08/2012,667.381125
21/08/2012,673.11115
20/08/2012,675.501182
17/08/2012,674.121149
16/08/2012,667.511127
15/08/2012,670.281119
14/08/2012,659.251142
13/08/2012,647.421118
10/08/2012,638.591071
09/08/2012,644.511076
08/08/2012,639.051103
07/08/2012,641.791075
06/08/2012,639.611117
03/08/2012,640.001124
02/08/2012,625.511077
01/08/2012,637.301095
31/07/2012,628.261097
30/07/2012,636.051064
27/07/2012,618.891069
26/07/2012,615.001048
25/07/2012,608.321062
24/07/2012,615.001048
23/07/2012,600.481042
20/07/2012,608.76106
19/07/2012,586.141031
18/07/2012,576.981016
17/07/2012,578.431013
16/07/2012,576.37101
13/07/2012,572.150959
12/07/2012,567.120998
11/07/2012,576.300985
10/07/2012,590.191012
09/07/2012,584.950977
06/07/2012,592.451042
05/07/2012,588.760987
03/07/2012,580.011012
02/07/2012,581.820997
29/06/2012,574.960957
28/06/2012,565.900986
27/06/2012,567.700985
26/06/2012,562.760959
25/06/2012,567.33095
22/06/2012,568.000995
21/06/2012,579.841005
20/06/2012,579.810985
19/06/2012,573.59097
18/06/2012,562.620971
15/06/2012,560.340968
14/06/2012,561.300976
13/06/2012,561.720941
12/06/2012,569.770974
11/06/2012,584.21103
08/06/2012,575.851001
07/06/2012,587.601014
06/06/2012,576.480979
05/06/2012,575.451008
04/06/2012,570.220958
01/06/2012,571.790972
31/05/2012,588.720982
30/05/2012,588.161028
29/05/2012,595.811007
25/05/2012,601.001051
24/05/2012,609.161053
23/05/2012,601.651001
22/05/2012,613.441081
21/05/2012,600.511
18/05/2012,625.101098
17/05/2012,633.8311
16/05/2012,617.961081
15/05/2012,605.351043
14/05/2012,600.781052
11/05/2012,610.351046
10/05/2012,612.961078
09/05/2012,606.821012
08/05/2012,605.531037
07/05/2012,595.001035
04/05/2012,605.921044
03/05/2012,609.621024
02/05/2012,601.201017
01/05/2012,603.791016
30/04/2012,612.991036
27/04/2012,615.021081
26/04/2012,610.911061
25/04/2012,604.001029
24/04/2012,598.241045
23/04/2012,592.901027
20/04/2012,604.251047
19/04/2012,605.691058
18/04/2012,608.051072
17/04/2012,608.561033
16/04/2012,623.001089
13/04/2012,647.55112
12/04/2012,642.35109
11/04/2012,633.971089
10/04/2012,633.521104
09/04/2012,628.481096
05/04/2012,632.241054
04/04/2012,638.451083
03/04/2012,645.411106
02/04/2012,640.77109
30/03/2012,651.751137
29/03/2012,653.441106
28/03/2012,652.031114
27/03/2012,647.031111
26/03/2012,645.001127
23/03/2012,646.601099
22/03/2012,638.501074
21/03/2012,634.611114
20/03/2012,630.921059
19/03/2012,623.121044
16/03/2012,620.891095
15/03/2012,616.60108
14/03/2012,615.001048
13/03/2012,608.751074
12/03/2012,600.001038
09/03/2012,607.951027
08/03/2012,610.04105
07/03/2012,609.051023
06/03/2012,608.051072
05/03/2012,620.431063
02/03/2012,622.001076
01/03/2012,622.261081
29/02/2012,618.601045
28/02/2012,610.001045
27/02/2012,606.591027
24/02/2012,607.351069
23/02/2012,607.001067
22/02/2012,611.961065
21/02/2012,603.871026
17/02/2012,604.971022
16/02/2012,602.821022
15/02/2012,612.931058
14/02/2012,611.541039
13/02/2012,610.50102
